Domains,Ont Avg Expanded,Ont Avg Evaluated,Ont Avg Generated,Ont Avg Total Time,Ont Avg Plan Cost,Random Avg Expanded,Random Avg Evaluated,Random Avg Generated,Random Avg Total Time,Random Avg Plan Cost
/home/bharath/Desktop/ISWC_test/best_planner/data/scanalyzer,8588.0,15545.666666666666,87261.33333333333,0.260254,20.333333333333332,8706.333333333334,16469.0,88681.33333333333,0.45352733333333334,20.333333333333332
/home/bharath/Desktop/ISWC_test/best_planner/data/elevators,1471.0,16050.333333333334,29478.666666666668,1.726017,52.666666666666664,64541.333333333336,365279.6666666667,1352500.0,2.8889833333333335,52.666666666666664
/home/bharath/Desktop/ISWC_test/best_planner/data/transport,165263.33333333334,280855.6666666667,1203575.6666666667,0.9990123333333334,491.3333333333333,132367.0,209070.33333333334,980307.6666666666,1.4287409999999998,491.3333333333333
/home/bharath/Desktop/ISWC_test/best_planner/data/parking,367910.6666666667,2077362.0,4461168.0,22.43273333333333,18.0,325886.6666666667,1773153.3333333333,3897789.3333333335,111.82908666666667,11.333333333333334
/home/bharath/Desktop/ISWC_test/best_planner/data/woodworking,1988.3333333333333,19062.666666666668,43348.666666666664,1.7968973333333331,211.66666666666666,19844.0,128065.0,394433.6666666667,1.4643126666666664,211.66666666666666
/home/bharath/Desktop/ISWC_test/best_planner/data/floortile,283724.0,1243336.6666666667,2615731.6666666665,80.22456666666666,54.666666666666664,700.3333333333334,4479.333333333333,6266.0,202.55389666666667,16.333333333333332
/home/bharath/Desktop/ISWC_test/best_planner/data/barman,1275078.3333333333,1620684.0,5789510.666666667,237.12299999999996,90.0,5816476.0,5946159.333333333,25399964.333333332,30.108933333333336,90.0
/home/bharath/Desktop/ISWC_test/best_planner/data/openstacks,132956.66666666666,245337.0,796790.3333333334,2.1923143333333335,4.0,139857.66666666666,259107.66666666666,839005.3333333334,6.941644,4.0
/home/bharath/Desktop/ISWC_test/best_planner/data/nomystery,1690.6666666666667,4610.333333333333,7598.333333333333,0.03194533333333333,13.333333333333334,1690.6666666666667,4610.333333333333,7598.333333333333,0.028792333333333336,13.333333333333334
/home/bharath/Desktop/ISWC_test/best_planner/data/pegsol,89246.33333333333,96901.33333333333,183430.0,24.70586666666667,6.666666666666667,101491.33333333333,102933.0,205162.66666666666,9.208565,6.666666666666667
/home/bharath/Desktop/ISWC_test/best_planner/data/visitall,5.0,11.0,10.0,0.010153666666666667,4.0,5.0,11.0,10.0,0.007681333333333334,4.0
/home/bharath/Desktop/ISWC_test/best_planner/data/tidybot,1173.0,2034.3333333333333,3976.0,4.568802666666667,17.666666666666668,1123.6666666666667,1922.0,4036.6666666666665,204.3664666666667,11.0
/home/bharath/Desktop/ISWC_test/best_planner/data/parcprinter,541.3333333333334,899.0,1651.6666666666667,0.11015966666666667,441374.6666666667,417.0,671.6666666666666,1299.0,0.07541166666666667,441374.6666666667
/home/bharath/Desktop/ISWC_test/best_planner/data/sokoban,9653.333333333334,10205.333333333334,23994.0,0.8460593333333333,25.0,156600.33333333334,157545.0,386282.0,3.1487486666666666,25.0
